trip_id,arrival_time,departure_time,start_pickup_drop_off_window,end_pickup_drop_off_window,stop_id,stop_sequence,pickup_type,drop_off_type,local_zone_id,stop_headsign,timepoint,pickup_booking_rule_id,drop_off_booking_rule_id
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:22:00,06:22:00,,,IDFM:22224,13,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:24:00,06:24:00,,,IDFM:22218,14,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:26:00,06:26:00,,,IDFM:22225,15,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:27:00,06:27:00,,,IDFM:22129,16,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:28:00,06:28:00,,,IDFM:22227,17,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:30:00,06:30:00,,,IDFM:462952,18,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:31:00,06:31:00,,,IDFM:22220,19,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:33:00,06:33:00,,,IDFM:22244,20,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:35:00,06:35:00,,,IDFM:463212,21,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:37:00,06:37:00,,,IDFM:462976,22,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:39:00,06:39:00,,,IDFM:22241,23,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:41:00,06:41:00,,,IDFM:463126,24,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_5,06:43:00,06:43:00,,,IDFM:463302,25,1,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:47:00,05:47:00,,,IDFM:22237,0,0,1,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:49:00,05:49:00,,,IDFM:463214,1,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:50:00,05:50:00,,,IDFM:463213,2,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:52:00,05:52:00,,,IDFM:463260,3,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:54:00,05:54:00,,,IDFM:463085,4,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:55:00,05:55:00,,,IDFM:22222,5,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:56:00,05:56:00,,,IDFM:22230,6,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:58:00,05:58:00,,,IDFM:22157,7,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,05:59:00,05:59:00,,,IDFM:22229,8,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:00:00,06:00:00,,,IDFM:22217,9,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:02:00,06:02:00,,,IDFM:22226,10,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:03:00,06:03:00,,,IDFM:463198,11,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:05:00,06:05:00,,,IDFM:22093,12,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:06:00,06:06:00,,,IDFM:22224,13,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:08:00,06:08:00,,,IDFM:22218,14,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:10:00,06:10:00,,,IDFM:22225,15,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:11:00,06:11:00,,,IDFM:22129,16,0,0,,,1,,
IDFM:RATP:151076-C01383-COU_RATP_5101530_2467827_3,06:12:00,06:12:00,,,IDFM:22227,17,0,0,,,1,,
