route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3207-260,Gare de Liesse,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_24,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_102,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_109,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_6,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_84,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_32,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_117,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_43,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_36,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_88,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3202-260,Gare de Liesse,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_121,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_52,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_49,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_55,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_46,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_105,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_72,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_77,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_70,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_18,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3200-260,Gare de Liesse,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3198-260,Gare de Liesse,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-3215-260,Gare de Liesse,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_195,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_51,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_161,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_174,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-1603-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_179,Châtillon Montrouge,,0,,,2,0
IDFM:C02086,IDFM:1,IDFM:FSO:184463-C02086-1601-260,Gare de Conflans Romagné,,1,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_7,Châtillon Montrouge,,0,,,2,0
IDFM:C01383,IDFM:1,IDFM:RATP:178016-C01383-COU_RATP_5120308_2467830_147,Châtillon Montrouge,,0,,,2,0
